   n, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
 305,     4305,       2435,     10635,      2633,         402,       5634
 306,     4325,       2449,     16044,      2649,         408,       8505
 307,     4337,       2453,     10569,      2727,         409,       5488
 308,     4353,       2458,     11201,      2747,         415,       5526
 309,     4376,       2476,     13692,      2777,         429,       5626
 310,     4395,       2486,     10419,      2769,         424,       5377
 311,     4414,       2501,     10477,      2732,         426,       5616
 312,     4432,       2505,     10223,      2738,         425,       6597
 313,     4448,       2515,     16759,      2765,         435,      10186
 314,     4464,       2527,     16231,      2783,         435,       5538
 315,     4482,       2533,     15262,      2916,         414,       5692
 316,     4500,       2546,     10757,      2917,         418,       6264
 317,     4520,       2558,     10363,      2874,         422,       5818
 318,     4533,       2565,     10783,      2860,         427,       6251
 319,     4552,       2571,     10967,      2827,         437,       6070
 320,     4571,       2581,     10989,      2838,         438,       7011
 321,     4588,       2587,     13835,      2918,         448,       9883
 322,     4602,       2599,     15972,      2926,         451,       9224
 323,     4626,       2610,     10499,      2930,         451,       5867
 324,     4643,       2626,     19042,      2873,         442,       9668
 325,     4656,       2634,     12021,      2872,         449,       6050
 326,     4675,       2643,     10833,      2890,         457,       5504
 327,     4694,       2652,     12822,      2947,         440,      10438
 328,     4716,       2665,     13474,      2965,         443,       6030
 329,     4729,       2666,     11913,      3012,         453,       9352
 330,     4752,       2684,     10923,      2964,         449,       5897
 331,     4763,       2692,     11936,      2926,         448,       6527
 332,     4782,       2703,     17488,      2937,         454,       5664
 333,     4800,       2710,     17391,      3095,         448,      11111
 334,     4818,       2724,     11217,      3157,         458,       7375
 335,     4835,       2731,     11637,      3143,         452,       6062
 336,     4854,       2744,     11802,      3147,         450,       6351
 337,     4875,       2752,     12212,      3011,         455,       6067
 338,     4888,       2755,     17853,      3042,         462,       6964
 339,     4903,       2768,     13259,      3029,         457,       5895
 340,     4922,       2783,     15752,      3039,         458,       7413
 341,     4942,       2794,     15652,      3076,         460,       8149
 342,     4959,       2800,     19873,      3083,         473,       8165
 343,     4984,       2818,     16551,      3180,         461,       8572
 344,     4997,       2816,     14781,      3169,         462,       7174
 345,     5016,       2827,     13335,      3192,         460,       6964
 346,     5034,       2839,     14036,      3205,         470,      10092
 347,     5053,       2847,     14669,      3102,         467,       7339
 348,     5070,       2860,     13188,      3139,         462,       6476
 349,     5087,       2866,     13167,      3127,         477,       7093
 350,     5104,       2879,     13202,      3145,         478,      15285
