    n, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
   47,      404,        244,      1057,       298,          36,        626
   48,      410,        250,      2843,       304,          37,        870
   49,      423,        256,      2444,       319,          42,       1663
   50,      434,        266,      2542,       328,          43,       1783
   51,      446,        271,      2377,       330,          44,        668
   52,      458,        278,      1104,       338,          46,        680
   53,      468,        286,      1240,       343,          40,       1065
   54,      479,        291,      1048,       355,          40,       1021
   55,      490,        297,      1263,       386,          45,        746
   56,      500,        305,      1733,       389,          50,        759
   57,      513,        309,      1170,       374,          44,       1955
   58,      522,        317,      1170,       384,          45,        978
   59,      535,        325,      1276,       385,          48,        755
   60,      543,        331,      1316,       382,          45,        808
   61,      554,        337,      1465,       427,          49,        816
   62,      568,        345,      1468,       431,          51,        957
   63,      580,        351,      1242,       428,          48,        808
   64,      593,        364,      1360,       439,          47,        834
   65,      608,        368,      2769,       438,          48,        872
   66,      620,        378,      1542,       446,          51,        885
   67,      635,        384,      1863,       455,          51,        873
   68,      648,        391,      1446,       464,          52,        995
   69,      663,        401,      1430,       470,          52,       1108
   70,      674,        405,      1601,       477,          50,        930
   71,      689,        411,      1547,       469,          51,        966
   72,      700,        421,      1789,       478,          52,       1218
   73,      715,        423,      1651,       486,          57,       1019
   74,      727,        437,      1589,       492,          57,        939
   75,      743,        443,      2034,       506,          58,       1235
   76,      755,        451,      1741,       514,          59,       1160
   77,      769,        457,      1946,       523,          57,       1862
   78,      780,        469,      1770,       524,          57,       1041
   79,      796,        474,      1839,       536,          61,       1050
   80,      809,        482,      3437,       543,          62,       1083
   81,      826,        494,      2489,       556,          62,       1121
   82,      838,        500,      2198,       564,          63,       1103
   83,      854,        506,      1851,       571,          65,       1129
   84,      865,        513,      2315,       579,          65,       1111
   85,      881,        523,      1882,       608,          60,       1114
   86,      894,        531,      2692,       619,          61,       1600
   87,      909,        537,      2204,       603,          63,       1589
   88,      921,        547,      3850,       619,          66,       2161
   89,      937,        555,      5315,       637,          72,       1236
   90,      950,        563,      4497,       636,          70,       1575
   91,      965,        571,      2067,       644,          68,       1433
   92,      979,        581,      2356,       645,          67,       1447
   93,      993,        585,      4029,       656,          77,       1274
   94,     1005,        593,      4469,       658,          75,       1948
   95,     1017,        599,      2492,       707,          76,       1979
   96,     1025,        603,      2858,       718,          77,       1424
   97,     1041,        612,      2548,       691,          73,       1810
   98,     1056,        622,      2537,       707,          73,       1542
   99,     1069,        629,      3190,       704,          78,       1529
  100,     1084,        639,      2500,       715,          79,       2054
  101,     1099,        644,      4048,       727,          79,       1490
  102,     1111,        652,      3164,       735,          80,       1494
  103,     1124,        660,      2418,       751,          83,       1775
  104,     1139,        666,      7047,       751,          81,       4657
  105,     1150,        674,      4880,       751,          81,       1855
  106,     1164,        680,      3777,       761,          81,       1728
  107,     1178,        691,      2608,       763,          75,       1482
  108,     1193,        699,      6586,       773,          77,       4387
  109,     1207,        705,      8393,       793,          78,       1634
  110,     1216,        713,      3247,       798,          79,       1504
  111,     1231,        721,      2813,       835,          84,       2114
  112,     1241,        723,      7482,       841,          85,       4945
  113,     1257,        733,      7188,       841,          90,       1814
  114,     1270,        745,      4284,       875,          89,       2747
  115,     1284,        752,      5693,       845,          82,       2238
  116,     1298,        761,      3475,       844,          82,       1847
